file,airplane,bells,birds,cats,chicken coop,cicadas and crickets,clacson,crows and seagulls,dogs,garbage,helicopter,lawn mower and bush cutter,music,sirens and alarms,thunder fireworks and gunshot,train,vacuum cleaner,fan and hairdryer,vehicle idling,vehicle pass-by,voices,workshop
14.10 ezy465x.wav,0.15503880381584167,0.06237754970788956,0.2676210403442383,0.1622498631477356,0.12375591695308685,0.24489492177963257,0.10381282866001129,0.2100563943386078,0.14241386950016022,0.0034190681762993336,0.1386408656835556,0.13143137097358704,0.0469866618514061,0.06163758784532547,0.18093496561050415,0.1525760442018509,0.044411562383174896,0.04494534432888031,-0.016385957598686218,0.0782461017370224,0.07564117759466171,0.004546801093965769
14.16 efw06b.wav,0.0875653326511383,0.06066563352942467,0.34959954023361206,0.1107892245054245,0.12377934157848358,0.24238303303718567,0.1120166927576065,0.2291942983865738,0.1136273592710495,0.0630350112915039,0.05101566016674042,0.14119639992713928,0.06907179951667786,0.019550055265426636,0.09596461802721024,0.14193864166736603,0.049516644328832626,-0.0052251494489610195,-0.056546032428741455,0.05603167414665222,0.05634308606386185,0.03451397642493248
14.19 ezy6519.wav,0.433428555727005,0.0822913646697998,0.24998435378074646,0.1568589210510254,0.1705913245677948,0.2785155177116394,0.1005546972155571,0.1957828402519226,0.12489867210388184,0.04886177182197571,0.32938718795776367,0.17129652202129364,0.06822028756141663,0.12288345396518707,0.21611109375953674,0.26349514722824097,0.16703951358795166,0.17807337641716003,0.11320336163043976,0.22367717325687408,0.18282705545425415,0.02958614006638527
14.20 baw23k.wav,0.20962616801261902,0.1402052938938141,0.26025304198265076,0.15357479453086853,0.11058615148067474,0.3172934651374817,0.07232636213302612,0.19549497961997986,0.12119311839342117,0.02601589448750019,0.17110343277454376,0.16230812668800354,0.10855351388454437,0.17107436060905457,0.22373002767562866,0.1862180531024933,0.06892988085746765,0.08392290771007538,-0.03101458214223385,0.07290992140769958,0.09294489771127701,0.013181999325752258
14.22 ezy85rg.wav,0.13156871497631073,0.05510670319199562,0.27980804443359375,0.17377498745918274,0.10947896540164948,0.29684707522392273,0.09596096724271774,0.18819215893745422,0.18084143102169037,0.03422997146844864,0.13649484515190125,0.14214572310447693,0.04946703091263771,0.011753530241549015,0.1535138189792633,0.15723836421966553,0.09260860085487366,0.05780039727687836,-0.029345950111746788,0.05750150978565216,0.05637047439813614,0.03204001113772392
14.23 ezy458w.wav,0.4408150315284729,0.03669752925634384,0.27538204193115234,0.16655611991882324,0.19089534878730774,0.26280367374420166,0.10460725426673889,0.21085456013679504,0.13816873729228973,0.09826095402240753,0.32366567850112915,0.2058456540107727,0.05513423681259155,0.11353537440299988,0.21786007285118103,0.29054969549179077,0.2083768993616104,0.23203232884407043,0.14405977725982666,0.18550686538219452,0.18546363711357117,0.0732261911034584
14.30 ezy58jm.wav,0.15784955024719238,0.10860621929168701,0.2824966311454773,0.16113731265068054,0.11610613763332367,0.33545011281967163,0.07691889256238937,0.19278161227703094,0.12399540841579437,0.03761953487992287,0.1321515291929245,0.14448687434196472,0.05933001637458801,0.05295073986053467,0.19039231538772583,0.16383516788482666,0.061774082481861115,0.05528506264090538,-0.0397292897105217,0.06783922761678696,0.0604151226580143,0.006924038752913475
14.33 ezy96qg.wav,0.21852976083755493,0.08899922668933868,0.35320332646369934,0.12962013483047485,0.1274866908788681,0.20247864723205566,0.12266452610492706,0.22369292378425598,0.11451420187950134,0.02602623775601387,0.1469426155090332,0.1603364795446396,0.10254763066768646,0.009143088944256306,0.16562041640281677,0.18070916831493378,0.04716753959655762,0.008132265880703926,-0.04015765339136124,0.08434215188026428,0.06958985328674316,0.02661183848977089
14.37 ezy185b.wav,0.2636469006538391,0.08164222538471222,0.2898232638835907,0.1449056714773178,0.13284707069396973,0.20730078220367432,0.06688141077756882,0.19931134581565857,0.1046970784664154,0.023875432088971138,0.2089257538318634,0.21171903610229492,0.05606155842542648,0.09036076068878174,0.14383167028427124,0.19678306579589844,0.08949869871139526,0.08592960238456726,-0.0008019674569368362,0.09583030641078949,0.04356352239847183,-0.01268672663718462
14.42 wuk4hp.wav,0.3164582848548889,0.13039615750312805,0.31347396969795227,0.14024989306926727,0.17677956819534302,0.16580234467983246,0.10945819318294525,0.23923362791538239,0.12485317140817642,0.09418313205242157,0.2051621824502945,0.2250688672065735,0.06970657408237457,0.09996171295642853,0.16565760970115662,0.21596120297908783,0.12422360479831696,0.0852699875831604,0.014429477974772453,0.12987224757671356,0.10978521406650543,0.019807331264019012
14.45 tom642.wav,0.35468029975891113,0.0539504736661911,0.2637883424758911,0.08772439509630203,0.1442299783229828,0.21623735129833221,0.09810410439968109,0.18054521083831787,0.05595763772726059,0.02965148165822029,0.23965772986412048,0.17442083358764648,0.04524792730808258,0.06821586191654205,0.14881661534309387,0.1860959529876709,0.08630277961492538,0.05377596616744995,0.0046127247624099255,0.19093579053878784,0.10231004655361176,-0.00710598099976778
14.47 vlg97cv.wav,0.1720859557390213,0.07887256145477295,0.33339178562164307,0.14461591839790344,0.12620282173156738,0.2627421021461487,0.09719394147396088,0.2454301118850708,0.11982639133930206,0.030557040125131607,0.14283379912376404,0.16751012206077576,0.07133087515830994,0.03712709993124008,0.16417516767978668,0.1857661008834839,0.05180545151233673,0.03344897925853729,-0.058805860579013824,0.05195145308971405,0.07757183909416199,0.02146664820611477
14.48 thy7lj.wav,0.2594231367111206,0.0880979672074318,0.3226659297943115,0.09436073154211044,0.15141548216342926,0.2043527513742447,0.11064555495977402,0.2670151889324188,0.08007102459669113,0.03240828216075897,0.17266204953193665,0.17144590616226196,0.061179935932159424,0.06272397935390472,0.11708308756351471,0.24355733394622803,0.05138157308101654,0.025513844564557076,-0.032382361590862274,0.08068297803401947,0.1046370342373848,0.012076659128069878
14.50 ezy25nz.wav,0.19709539413452148,0.135625422000885,0.3797589838504791,0.10283193737268448,0.15312832593917847,0.28769588470458984,0.13346236944198608,0.286009281873703,0.07974707335233688,0.06365793198347092,0.12316188216209412,0.1778087168931961,0.07584580779075623,0.10200243443250656,0.1384550929069519,0.23044638335704803,0.05462832748889923,0.020212681964039803,-0.006544861011207104,0.0851612389087677,0.09079529345035553,0.020003724843263626
14.53 efw4yw.wav,0.11286059021949768,0.049905672669410706,0.18828630447387695,0.15849396586418152,0.07474366575479507,0.1690361201763153,0.10038314759731293,0.11466836929321289,0.1623372733592987,0.07366913557052612,0.09487130492925644,0.12434697896242142,0.027666915208101273,0.003251386806368828,0.14337602257728577,0.14902149140834808,0.1054529994726181,0.07441728562116623,0.019325943663716316,0.11633630841970444,0.06827618926763535,0.044377442449331284
14.55 tom4ce.wav,0.42655473947525024,0.12176987528800964,0.26724690198898315,0.1762295365333557,0.1307132989168167,0.3242359459400177,0.1344183385372162,0.19888998568058014,0.12272383272647858,0.09816489368677139,0.2736673355102539,0.17021821439266205,0.0992596372961998,0.18238812685012817,0.24456900358200073,0.3147657513618469,0.1934504210948944,0.1486748307943344,0.07968918234109879,0.26868724822998047,0.18013827502727509,0.03067808412015438
14.58 ezy93yz.wav,0.375698059797287,0.044430024921894073,0.29416054487228394,0.10092216730117798,0.15873059630393982,0.20356342196464539,0.10076943039894104,0.20793882012367249,0.08963051438331604,0.04187771677970886,0.26992267370224,0.19284756481647491,0.02824719250202179,0.058522894978523254,0.1889660358428955,0.20762208104133606,0.1077643483877182,0.0728805661201477,0.037633199244737625,0.18455305695533752,0.11944492906332016,0.020777292549610138
15.00 seh7ga.wav,0.29360195994377136,0.11547209322452545,0.35782718658447266,0.13671225309371948,0.18511316180229187,0.2251099795103073,0.10904382169246674,0.2646005153656006,0.10885060578584671,0.055644914507865906,0.20061556994915009,0.18555130064487457,0.08376863598823547,0.07798991352319717,0.18011054396629333,0.2276594340801239,0.06581898033618927,0.08072657138109207,0.0066602835431694984,0.11632189154624939,0.10226740688085556,0.0502999871969223
15.03 noz15u.wav,0.23382656276226044,0.044736407697200775,0.2365468144416809,0.17606307566165924,0.11244474351406097,0.23909157514572144,0.07313571870326996,0.22842618823051453,0.13541027903556824,0.08386331796646118,0.21495696902275085,0.20956340432167053,0.05930863320827484,0.04991406947374344,0.2545729875564575,0.2118753045797348,0.13234737515449524,0.1701568067073822,0.04007937014102936,0.13739687204360962,0.10562541335821152,0.03456132113933563
15.04 baw2039.wav,0.23463255167007446,0.08086849004030228,0.28101208806037903,0.14581385254859924,0.09441198408603668,0.2370380163192749,0.06520100682973862,0.19409626722335815,0.0966450572013855,0.03530801832675934,0.17276541888713837,0.17175501585006714,0.06209028884768486,0.07346386462450027,0.21448975801467896,0.24310627579689026,0.09633402526378632,0.09253375232219696,0.012467926368117332,0.11400166153907776,0.04719192907214165,-0.006091543007642031
15.06 tom2bk.wav,0.2755071520805359,0.07655872404575348,0.36326295137405396,0.168399840593338,0.15188303589820862,0.2792550325393677,0.12431216984987259,0.23861968517303467,0.1345820277929306,0.029951533302664757,0.22471284866333008,0.1709364801645279,0.08720956742763519,0.06785082817077637,0.21297496557235718,0.20128850638866425,0.0761200562119484,0.047356247901916504,-0.018829576671123505,0.11585000157356262,0.08554460108280182,0.02566477097570896
15.08 efw4ly.wav,0.2536114454269409,0.09387838840484619,0.28983598947525024,0.13789808750152588,0.11625367403030396,0.25391316413879395,0.09895683079957962,0.19477321207523346,0.11287213861942291,0.05035925656557083,0.21929219365119934,0.181450754404068,0.09321063756942749,0.053162287920713425,0.19541920721530914,0.19814082980155945,0.0803356021642685,0.036656346172094345,-0.03481011092662811,0.11508995294570923,0.09605105221271515,0.04076005518436432
15.19 vlg1nj.wav,0.2197338044643402,0.09832289069890976,0.2714470326900482,0.1330586075782776,0.09634705632925034,0.2693215012550354,0.10511769354343414,0.18011559545993805,0.09936761111021042,0.03427531570196152,0.17253555357456207,0.1571202576160431,0.05748298391699791,0.03976821154356003,0.26741114258766174,0.17467555403709412,0.08061434328556061,0.04653029516339302,-0.014232894405722618,0.16551083326339722,0.07530615478754044,0.009168779477477074
15.26 ezy891a.wav,0.3790181875228882,0.057308025658130646,0.1948430985212326,0.14733724296092987,0.13432365655899048,0.22693493962287903,0.08774907886981964,0.12581446766853333,0.12181375920772552,0.0860518217086792,0.3150012493133545,0.18046151101589203,0.04652947187423706,0.09947414696216583,0.17928756773471832,0.2598290741443634,0.21707265079021454,0.20967969298362732,0.09057962894439697,0.21360473334789276,0.18364988267421722,0.08426233381032944
15.30 efw73h.wav,0.3633372187614441,0.06432323902845383,0.28282779455184937,0.1192355751991272,0.14604748785495758,0.226822629570961,0.09067512303590775,0.21348215639591217,0.08082348108291626,0.05660257115960121,0.2886367738246918,0.20204691588878632,0.0659487247467041,0.08788589388132095,0.1776704490184784,0.20689360797405243,0.11972084641456604,0.12119899690151215,0.05009526014328003,0.21762999892234802,0.10083670914173126,0.010657013393938541
